Account_ID,Client_Name,Balance,date,Account_Type,Revenue,Expenses,Net_Profit,Fund_Allocated,Department
201,GSRTC Finance,956258,2024-01-26,Business,383404,467230,-83826,1227302,Traffic
202,GSRTC Finance,119544,2024-09-16,Savings,485646,127879,357767,201720,Purchases
203,Gamma Ltd,204423,2024-06-17,Checking,376988,310242,66746,600074,Traffic
204,GSRTC Operations,988032,2024-11-30,Business,610700,662765,-52065,1194652,Stores
205,GSRTC Stores,348752,2024-11-09,Corporate,400162,38703,361459,598479,Stores
206,GSRTC HR,863714,2024-07-23,Business,740021,284338,455683,517617,Traffic
207,GSRTC Stores,797924,2024-04-04,Business,81834,430862,-349028,1117548,HR
208,GSRTC HR,654395,2024-01-21,Corporate,432782,352920,79862,1057955,Purchases
209,GSRTC Stores,159445,2024-08-09,Business,134608,727815,-593207,438562,Workshop
210,Gamma Ltd,77571,2024-11-02,Savings,160272,214477,-54205,659428,HR
211,GSRTC Operations,791193,2024-08-07,Checking,645685,251620,394065,801885,Traffic
212,GSRTC Stores,110406,2024-08-26,Corporate,928193,497778,430415,777949,Finance
213,GSRTC Operations,901122,2024-12-18,Business,142206,312090,-169884,878264,Finance
214,Gamma Ltd,644771,2024-06-12,Corporate,920390,625196,295194,1253821,Traffic
215,GSRTC Stores,813717,2024-07-14,Savings,419417,680362,-260945,1217720,Workshop
216,Gamma Ltd,664627,2024-12-16,Checking,491118,566397,-75279,131201,Operations
217,GSRTC HR,611807,2024-03-09,Corporate,186934,250419,-63485,1206417,Purchases
218,GSRTC HR,879306,2024-03-14,Checking,688584,528155,160429,356004,Finance
219,GSRTC Finance,269752,2024-03-09,Corporate,815522,196860,618662,1376916,Workshop
220,GSRTC Operations,549633,2024-12-14,Savings,684089,98362,585727,203860,Traffic
221,GSRTC HR,531314,2024-07-03,Business,381180,139023,242157,1205402,Operations
222,Gamma Ltd,940919,2024-06-08,Checking,778063,132482,645581,679966,Traffic
223,GSRTC HR,112522,2024-04-23,Business,988587,801765,186822,1327273,Purchases
224,GSRTC Stores,884738,2024-12-26,Corporate,745032,295028,450004,525034,Stores
225,GSRTC Stores,959699,2024-09-29,Checking,606752,145129,461623,1208067,Operations
226,Beta Inc,641114,2024-10-24,Corporate,200636,879718,-679082,1163252,HR
227,Foxtrot Ventures,141801,2024-11-12,Checking,896493,288417,608076,1267856,Purchases
228,GSRTC Stores,971726,2024-01-16,Corporate,344042,209379,134663,977920,Operations
229,GSRTC Stores,441581,2024-05-10,Checking,795506,492415,303091,673475,Purchases
230,Epsilon PLC,776219,2024-03-23,Savings,498620,221945,276675,428874,Traffic
231,GSRTC Finance,772555,2024-05-10,Checking,69897,878030,-808133,178500,HR
232,GSRTC Stores,506821,2024-03-23,Corporate,236803,121776,115027,1438871,Finance
233,GSRTC Finance,827359,2024-07-16,Corporate,278599,594505,-315906,860221,Workshop
234,GSRTC Stores,758495,2024-11-21,Savings,455756,703648,-247892,525076,HR
235,Epsilon PLC,545752,2024-07-22,Savings,644252,866794,-222542,386646,Purchases
236,Beta Inc,510824,2024-11-08,Savings,799405,814088,-14683,772359,HR
237,Alpha Corp,204795,2024-05-11,Checking,713209,35283,677926,1251115,Workshop
238,GSRTC Operations,211383,2024-03-02,Business,970874,64322,906552,1129123,HR
