Date & Time,Route Number,Route Name,Start Location,End Location,Total Distance (km),Bus Type,Vehicle Number,Traffic Volume,Passenger Count,Bus Speed (km/h),Delay Time (minutes),Congestion Level,Accident Reported,Weather Conditions,Fuel Consumption (liters),Ticket Revenue (₹),Average Occupancy (%),Number of Stops,Duration (minutes)
2025-01-01 10:26:00,Route-306,Amreli to Botad,Amreli,Botad,94,Express,GJ-8-9814,206,27,65,1,Low,No,Sunny,22.83,12285,77.66,20,150
2025-01-01 06:53:00,Route-637,Porbandar to Veraval,Porbandar,Veraval,107,Luxury,GJ-4-7827,189,29,40,21,High,No,Foggy,14.01,13412,99.92,16,155
2025-01-01 09:15:00,Route-741,Porbandar to Veraval,Porbandar,Veraval,113,Local,GJ-16-9322,236,25,47,7,High,Yes,Rainy,10.79,5727,68.97,14,133
2025-01-01 08:17:00,Route-517,Amreli to Botad,Amreli,Botad,252,AC,GJ-14-5735,345,27,78,29,Low,No,Foggy,13.74,13315,56.53,5,75
2025-01-01 07:48:00,Route-928,Gandhinagar to Bhavnagar,Gandhinagar,Bhavnagar,227,AC,GJ-9-9688,372,60,76,25,Low,Yes,Sunny,14.76,3005,89.63,19,76
2025-01-01 09:20:00,Route-429,Surat to Rajkot,Surat,Rajkot,138,AC,GJ-11-5659,466,50,55,3,Low,No,Rainy,14.86,8675,97.13,17,134
2025-01-01 09:51:00,Route-725,Mehsana to Palanpur,Mehsana,Palanpur,222,Luxury,GJ-5-1397,425,50,72,17,High,No,Foggy,17.73,5502,58.64,20,239
2025-01-01 08:16:00,Route-571,Anand to Nadiad,Anand,Nadiad,245,Local,GJ-8-5967,300,45,73,3,Medium,Yes,Cloudy,11.25,5665,61.64,12,121
2025-01-01 06:49:00,Route-850,Mehsana to Palanpur,Mehsana,Palanpur,277,Sleeper,GJ-15-6571,106,28,43,20,Low,No,Rainy,19.37,4631,43.69,10,154
2025-01-01 09:01:00,Route-754,Bhuj to Gandhidham,Bhuj,Gandhidham,167,Luxury,GJ-1-8642,175,41,46,15,Low,Yes,Rainy,10.27,5361,70.85,14,181
2025-01-01 09:06:00,Route-992,Gandhinagar to Bhavnagar,Gandhinagar,Bhavnagar,212,Sleeper,GJ-11-2668,310,20,74,24,Medium,No,Rainy,23.3,7537,96.94,14,80
2025-01-01 08:05:00,Route-348,Anand to Nadiad,Anand,Nadiad,289,Express,GJ-10-4598,292,54,47,1,High,No,Cloudy,10.78,9962,45.75,16,181
2025-01-01 08:56:00,Route-810,Amreli to Botad,Amreli,Botad,140,Local,GJ-7-6611,410,60,53,8,Low,Yes,Sunny,13.58,8198,65.54,7,237
2025-01-01 09:08:00,Route-375,Porbandar to Veraval,Porbandar,Veraval,283,Luxury,GJ-7-5334,205,47,63,28,Low,No,Sunny,24.69,10263,66.52,16,141
2025-01-01 10:33:00,Route-466,Jamnagar to Junagadh,Jamnagar,Junagadh,81,AC,GJ-8-3434,310,50,72,11,High,Yes,Sunny,20.38,9322,83.81,11,229
2025-01-01 07:18:00,Route-805,Navsari to Valsad,Navsari,Valsad,69,Luxury,GJ-1-5787,463,23,58,23,Low,No,Cloudy,11.48,12820,41.14,8,140
2025-01-01 09:58:00,Route-199,Ahmedabad to Vadodara,Ahmedabad,Vadodara,272,Local,GJ-14-2356,263,54,56,20,High,No,Cloudy,21.95,8676,80.53,18,71
2025-01-01 07:52:00,Route-671,Gandhinagar to Bhavnagar,Gandhinagar,Bhavnagar,144,Express,GJ-5-5261,121,22,66,23,Low,No,Foggy,19.31,6301,83.47,7,220
2025-01-01 09:57:00,Route-829,Porbandar to Veraval,Porbandar,Veraval,265,Express,GJ-12-4039,465,58,78,6,Medium,Yes,Sunny,21.51,12568,45.85,5,186
2025-01-01 06:23:00,Route-718,Ahmedabad to Vadodara,Ahmedabad,Vadodara,213,AC,GJ-16-9454,368,47,51,2,Medium,No,Sunny,11.03,10911,98.22,9,104
2025-01-01 07:40:00,Route-313,Surat to Rajkot,Surat,Rajkot,279,Luxury,GJ-5-3151,113,53,62,21,Medium,Yes,Foggy,23.88,4780,55.88,5,88
2025-01-01 10:24:00,Route-648,Porbandar to Veraval,Porbandar,Veraval,145,Express,GJ-4-5674,263,21,76,12,Low,No,Cloudy,12.69,12959,97.51,10,68
2025-01-01 11:00:00,Route-266,Amreli to Botad,Amreli,Botad,282,Local,GJ-13-2043,294,59,49,29,Medium,No,Foggy,23.63,3231,83.0,14,111
2025-01-01 09:20:00,Route-248,Amreli to Botad,Amreli,Botad,298,Express,GJ-16-3248,272,56,80,0,Low,No,Sunny,24.17,4689,51.53,5,85
2025-01-01 08:39:00,Route-996,Surat to Rajkot,Surat,Rajkot,230,Sleeper,GJ-13-7395,313,42,79,12,Medium,No,Cloudy,15.91,14803,62.26,7,144
2025-01-01 09:51:00,Route-779,Jamnagar to Junagadh,Jamnagar,Junagadh,211,AC,GJ-15-7255,404,35,65,17,Low,Yes,Cloudy,22.21,13671,70.52,14,100
2025-01-01 08:03:00,Route-682,Porbandar to Veraval,Porbandar,Veraval,204,Luxury,GJ-14-6505,225,32,66,8,Low,No,Rainy,15.05,5347,84.44,12,64
2025-01-01 09:26:00,Route-953,Mehsana to Palanpur,Mehsana,Palanpur,116,Sleeper,GJ-14-9014,272,23,45,23,High,Yes,Sunny,18.14,7219,48.49,5,226
2025-01-01 09:15:00,Route-528,Surat to Rajkot,Surat,Rajkot,96,AC,GJ-2-4071,218,29,42,16,Low,Yes,Cloudy,15.06,13475,41.98,15,157
2025-01-01 08:58:00,Route-674,Mehsana to Palanpur,Mehsana,Palanpur,65,Sleeper,GJ-3-6592,282,32,51,8,High,Yes,Sunny,20.89,6976,57.53,5,63
2025-01-01 09:21:00,Route-303,Gandhinagar to Bhavnagar,Gandhinagar,Bhavnagar,209,Sleeper,GJ-11-2136,195,51,72,17,Low,No,Foggy,10.94,5565,57.08,13,127
2025-01-01 10:30:00,Route-934,Gandhinagar to Bhavnagar,Gandhinagar,Bhavnagar,81,Express,GJ-6-6491,298,24,67,13,High,Yes,Rainy,24.99,6185,45.16,7,87
2025-01-01 08:25:00,Route-257,Porbandar to Veraval,Porbandar,Veraval,118,Luxury,GJ-10-2476,290,56,65,15,Low,No,Foggy,21.28,12890,84.68,8,173
2025-01-01 07:33:00,Route-813,Porbandar to Veraval,Porbandar,Veraval,54,Express,GJ-3-2233,359,27,66,3,Low,Yes,Cloudy,15.03,3384,90.01,20,67
2025-01-01 09:25:00,Route-503,Mehsana to Palanpur,Mehsana,Palanpur,193,AC,GJ-16-7942,218,52,51,11,Medium,No,Sunny,23.05,8012,48.27,9,87
2025-01-01 06:33:00,Route-576,Navsari to Valsad,Navsari,Valsad,69,Luxury,GJ-6-3507,94,52,43,0,Low,No,Rainy,10.85,3023,90.67,10,127
2025-01-01 08:04:00,Route-872,Gandhinagar to Bhavnagar,Gandhinagar,Bhavnagar,178,Express,GJ-3-5382,479,21,56,2,Low,Yes,Foggy,12.76,3918,71.38,15,210
2025-01-01 06:54:00,Route-203,Surat to Rajkot,Surat,Rajkot,149,Express,GJ-6-9062,231,24,50,24,Low,Yes,Rainy,11.11,12596,62.45,7,89
2025-01-01 07:07:00,Route-162,Ahmedabad to Vadodara,Ahmedabad,Vadodara,208,Local,GJ-2-5772,242,37,57,25,Low,No,Foggy,16.37,14239,62.81,18,187
2025-01-01 09:48:00,Route-312,Anand to Nadiad,Anand,Nadiad,249,Sleeper,GJ-12-4470,107,46,51,3,Low,Yes,Rainy,20.91,7150,71.37,7,210
2025-01-01 07:32:00,Route-509,Bhuj to Gandhidham,Bhuj,Gandhidham,94,Luxury,GJ-6-4592,62,60,59,23,Low,Yes,Sunny,17.04,7519,61.54,7,89
2025-01-01 07:53:00,Route-110,Ahmedabad to Vadodara,Ahmedabad,Vadodara,237,Local,GJ-16-3040,65,39,43,7,Medium,Yes,Foggy,14.23,14853,96.71,20,138
2025-01-01 06:17:00,Route-608,Porbandar to Veraval,Porbandar,Veraval,227,Luxury,GJ-9-7711,211,38,55,20,Medium,No,Rainy,15.22,4784,65.86,10,237
2025-01-01 08:48:00,Route-552,Porbandar to Veraval,Porbandar,Veraval,66,Express,GJ-16-6365,66,34,66,1,High,No,Rainy,16.22,7976,90.28,18,126
2025-01-01 08:20:00,Route-382,Navsari to Valsad,Navsari,Valsad,203,Sleeper,GJ-10-9265,406,43,76,29,High,Yes,Foggy,10.92,2311,94.9,8,238
2025-01-01 07:50:00,Route-411,Ahmedabad to Vadodara,Ahmedabad,Vadodara,70,Express,GJ-8-1673,272,54,60,19,Medium,Yes,Rainy,16.79,2943,66.61,18,95
2025-01-01 06:38:00,Route-181,Bhuj to Gandhidham,Bhuj,Gandhidham,201,Sleeper,GJ-6-1004,60,34,58,30,Medium,No,Foggy,11.67,12597,98.96,13,228
2025-01-01 07:57:00,Route-337,Mehsana to Palanpur,Mehsana,Palanpur,275,Sleeper,GJ-12-3431,187,20,41,23,Medium,Yes,Sunny,18.14,6429,67.62,19,220
2025-01-01 10:22:00,Route-878,Gandhinagar to Bhavnagar,Gandhinagar,Bhavnagar,183,Luxury,GJ-9-1789,489,58,53,29,Low,No,Foggy,15.22,5941,52.36,18,194
2025-01-01 10:53:00,Route-495,Anand to Nadiad,Anand,Nadiad,216,Luxury,GJ-2-3668,309,51,75,12,Medium,Yes,Sunny,16.39,11354,78.91,9,192
2025-01-01 09:44:00,Route-866,Ahmedabad to Vadodara,Ahmedabad,Vadodara,178,Local,GJ-11-3991,465,21,44,13,Low,Yes,Sunny,13.72,6924,52.62,15,138
2025-01-01 08:31:00,Route-195,Porbandar to Veraval,Porbandar,Veraval,115,Sleeper,GJ-14-3535,286,36,70,25,Medium,Yes,Sunny,15.6,11131,90.85,9,81
2025-01-01 07:58:00,Route-329,Anand to Nadiad,Anand,Nadiad,292,Luxury,GJ-13-7888,283,30,69,12,Low,No,Sunny,11.86,9337,79.63,10,93
2025-01-01 09:44:00,Route-126,Navsari to Valsad,Navsari,Valsad,80,Sleeper,GJ-2-4218,56,59,80,0,High,No,Rainy,23.61,6111,55.77,17,75
2025-01-01 06:26:00,Route-788,Jamnagar to Junagadh,Jamnagar,Junagadh,192,Sleeper,GJ-8-1155,376,41,48,28,High,Yes,Rainy,18.03,4224,57.96,18,217
2025-01-01 09:46:00,Route-779,Navsari to Valsad,Navsari,Valsad,273,Express,GJ-5-9757,185,58,63,16,High,Yes,Rainy,23.55,9074,84.35,19,228
2025-01-01 08:07:00,Route-220,Anand to Nadiad,Anand,Nadiad,68,Sleeper,GJ-16-5104,312,43,65,1,High,No,Rainy,23.83,13406,42.39,8,160
